Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro IPCA+;15/05/2045;27/07/2022;6,29;6,41;997,03;971,76;971,76
Tesouro IPCA+ com Juros Semestrais;15/08/2030;27/07/2022;6,25;6,37;4038,66;4009,87;4009,87
Tesouro IPCA+ com Juros Semestrais;15/08/2040;27/07/2022;6,29;6,41;3980,22;3931,57;3931,57
Tesouro IPCA+ com Juros Semestrais;15/08/2050;27/07/2022;6,31;6,43;3944,98;3886,12;3886,12
Tesouro Selic;01/03/2027;27/07/2022;0,17;0,18;11865,1;11853,74;11853,74
Tesouro Prefixado com Juros Semestrais;01/01/2033;27/07/2022;13,49;13,61;823,55;817,69;817,69
Tesouro IPCA+ com Juros Semestrais;15/05/2045;27/07/2022;6,31;6,43;3898,93;3844,67;3844,67
Tesouro IGPM+ com Juros Semestrais;01/01/2031;27/07/2022;6,28;6,4;8877,75;8815,09;8815,09
Tesouro IPCA+ com Juros Semestrais;15/08/2026;27/07/2022;6,35;6,47;4046,87;4030,54;4030,54
Tesouro Selic;01/09/2024;27/07/2022;0,08;0,09;11937,45;11929,03;11929,03
Tesouro Prefixado com Juros Semestrais;01/01/2031;27/07/2022;13,47;13,59;844,01;838,6;838,6
Tesouro Prefixado com Juros Semestrais;01/01/2025;27/07/2022;13,31;13,43;943,78;941,12;941,12
Tesouro IPCA+ com Juros Semestrais;15/05/2035;27/07/2022;6,3;6,42;3940,7;3900,97;3900,97
Tesouro Selic;01/03/2025;27/07/2022;0,09;0,1;11927,48;11918,46;11918,46
Tesouro IPCA+;15/08/2024;27/07/2022;7,2;7,32;3460,1;3451,98;3451,98
Tesouro IPCA+ com Juros Semestrais;15/08/2032;27/07/2022;6,28;6,4;4017,99;3984,17;3984,17
Tesouro IPCA+ com Juros Semestrais;15/08/2050;11/08/2022;5,91;6,03;4147,77;4084,27;4084,27
Tesouro Selic;01/03/2027;11/08/2022;0,18;0,19;11926,57;11915,01;11915,01
Tesouro Prefixado com Juros Semestrais;01/01/2033;11/08/2022;12,22;12,34;889,08;882,63;882,63
Tesouro IPCA+ com Juros Semestrais;15/05/2045;11/08/2022;5,91;6,03;4084,31;4026,41;4026,41
Tesouro IGPM+ com Juros Semestrais;01/01/2031;11/08/2022;5,66;5,78;9192,88;9130,09;9130,09
Tesouro IPCA+ com Juros Semestrais;15/08/2026;11/08/2022;5,51;5,63;4158,44;4141,83;4141,83
Tesouro Selic;01/09/2024;11/08/2022;0,08;0,09;12002,96;11994,34;11994,34
Tesouro Prefixado com Juros Semestrais;01/01/2031;11/08/2022;12,18;12,3;904,96;899,09;899,09
Tesouro Prefixado com Juros Semestrais;01/01/2025;11/08/2022;11,94;12,06;974,09;971,41;971,41
Tesouro IPCA+ com Juros Semestrais;15/05/2035;11/08/2022;5,79;5,91;4111,41;4069,62;4069,62
Tesouro Selic;01/03/2025;11/08/2022;0,1;0,11;11992,8;11983,57;11983,57
Tesouro IPCA+;15/08/2024;11/08/2022;6,18;6,3;3525,52;3517,51;3517,51
Tesouro IPCA+ com Juros Semestrais;15/08/2032;11/08/2022;5,71;5,83;4179,35;4144;4144
Tesouro Prefixado com Juros Semestrais;01/01/2023;09/06/2022;13,38;13,5;1026,11;1025,01;1025,01
Tesouro Prefixado;01/01/2025;09/06/2022;12,58;12,7;738,73;736,37;736,37
Tesouro Prefixado com Juros Semestrais;01/01/2029;09/06/2022;12,68;12,8;932,64;927,6;927,6
Tesouro IPCA+ com Juros Semestrais;15/08/2024;09/06/2022;5,73;5,85;4066,51;4055,62;4055,62
Tesouro IPCA+;15/08/2026;09/06/2022;5,46;5,58;3178,86;3162,64;3162,64
