Título;Rendimento anual do título;Investimento mínimo;Preço unitário de investimento;Vencimento do Título
Tesouro Prefixado 2028;13,21%;R$ 7,65;R$ 765,78;01/01/2028
Tesouro Prefixado 2032;13,74%;R$ 4,54;R$ 454,61;01/01/2032
Tesouro Prefixado com Juros Semestrais 2035;13,85%;R$ 8,48;R$ 848,10;01/01/2035
Tesouro Selic 2028;SELIC + 0,0500%;R$ 176,61;R$ 17.661,45;01/03/2028
Tesouro Selic 2031;SELIC + 0,1000%;R$ 175,87;R$ 17.587,21;01/03/2031
Tesouro IPCA+ 2029;IPCA + 7,98%;R$ 34,87;R$ 3.487,53;15/05/2029
Tesouro Renda+ Aposentadoria Extra 2049;IPCA + 7,33%;R$ 18,28;R$ 1.828,54;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2054;IPCA + 7,18%;R$ 13,17;R$ 1.317,14;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2059;IPCA + 7,08%;R$ 9,52;R$ 952,33;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2064;IPCA + 7,01%;R$ 6,89;R$ 689,95;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2069;IPCA + 6,98%;R$ 4,97;R$ 497,12;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2074;IPCA + 6,98%;R$ 3,55;R$ 355,48;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2079;IPCA + 6,99%;R$ 2,53;R$ 253,20;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2084;IPCA + 6,99%;R$ 1,80;R$ 180,98;15/12/2084
Tesouro Educa+ 2030;IPCA + 8,19%;R$ 37,30;R$ 3.730,05;15/12/2030
Tesouro Educa+ 2031;IPCA + 8,01%;R$ 34,69;R$ 3.469,83;15/12/2031
Tesouro Educa+ 2032;IPCA + 7,88%;R$ 32,31;R$ 3.231,27;15/12/2032
Tesouro Educa+ 2033;IPCA + 7,79%;R$ 30,10;R$ 3.010,31;15/12/2033
Tesouro Educa+ 2034;IPCA + 7,71%;R$ 28,06;R$ 2.806,92;15/12/2034
Tesouro Educa+ 2035;IPCA + 7,63%;R$ 26,21;R$ 2.621,29;15/12/2035
Tesouro Educa+ 2036;IPCA + 7,55%;R$ 24,51;R$ 2.451,75;15/12/2036
Tesouro Educa+ 2037;IPCA + 7,49%;R$ 22,92;R$ 2.292,72;15/12/2037
Tesouro Educa+ 2038;IPCA + 7,43%;R$ 21,46;R$ 2.146,77;15/12/2038
Tesouro Educa+ 2039;IPCA + 7,38%;R$ 20,10;R$ 2.010,16;15/12/2039
Tesouro Educa+ 2040;IPCA + 7,34%;R$ 18,81;R$ 1.881,38;15/12/2040
Tesouro Educa+ 2041;IPCA + 7,31%;R$ 17,59;R$ 1.759,90;15/12/2041
Tesouro Educa+ 2042;IPCA + 7,28%;R$ 16,47;R$ 1.647,20;15/12/2042
Tesouro Educa+ 2043;IPCA + 7,25%;R$ 15,42;R$ 1.542,44;15/12/2043
Tesouro Educa+ 2044;IPCA + 7,22%;R$ 14,45;R$ 1.445,25;15/12/2044
Tesouro Educa+ 2045;IPCA + 7,19%;R$ 13,55;R$ 1.355,05;15/12/2045
Tesouro Educa+ 2046;IPCA + 7,16%;R$ 12,71;R$ 1.271,28;15/12/2046
Tesouro IPCA+ 2040;IPCA + 7,28%;R$ 16,23;R$ 1.623,71;15/08/2040
Tesouro Educa+ 2047;IPCA + 7,14%;R$ 11,91;R$ 1.191,28;15/12/2047
Tesouro IPCA+ 2050;IPCA + 7,01%;R$ 8,59;R$ 859,91;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,57%;R$ 42,35;R$ 4.235,33;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,31%;R$ 41,04;R$ 4.104,85;15/05/2045
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,20%;R$ 39,59;R$ 3.959,48;15/08/2060
