Título;Rendimento anual do título;Preço unitário de resgate;Vencimento do Título
Tesouro Prefixado;13.98%;R$ 826,06;01/01/2028
Tesouro Prefixado;14.20%;R$ 722,83;01/01/2029
Tesouro Prefixado;14.43%;R$ 550,19;01/01/2031
Tesouro Prefixado;14.50%;R$ 479,22;01/01/2032
Tesouro Prefixado;13.81%;R$ 941,70;01/01/2027
Tesouro IPCA+ com Juros Semestrais;IPCA + 8.36%;R$ 4.496,78;15/08/2030
Tesouro IPCA+ com Juros Semestrais;IPCA + 7.67%;R$ 4.040,77;15/05/2045
Tesouro IPCA+ com Juros Semestrais;IPCA + 7.81%;R$ 4.164,03;15/08/2040
Tesouro IPCA+ com Juros Semestrais;IPCA + 8.24%;R$ 4.379,54;15/08/2032
Tesouro IPCA+ com Juros Semestrais;IPCA + 7.62%;R$ 4.052,36;15/08/2050
Tesouro IPCA+ com Juros Semestrais;IPCA + 8.12%;R$ 4.192,41;15/05/2035
Tesouro IPCA+ com Juros Semestrais;IPCA + 7.53%;R$ 4.008,29;15/08/2060
Tesouro IPCA+ com Juros Semestrais;IPCA + 7.99%;R$ 4.144,02;15/05/2037
Tesouro IPCA+ com Juros Semestrais;IPCA + 7.54%;R$ 3.970,93;15/05/2055
Tesouro IPCA+ com Juros Semestrais;IPCA + 11.65%;R$ 4.830,70;15/08/2026
Tesouro IPCA+;IPCA + 7.67%;R$ 1.683,23;15/08/2040
Tesouro IPCA+;IPCA + 11.65%;R$ 4.691,99;15/08/2026
Tesouro IPCA+;IPCA + 7.40%;R$ 858,20;15/08/2050
Tesouro IPCA+;IPCA + 7.47%;R$ 1.230,50;15/05/2045
Tesouro IPCA+;IPCA + 8.36%;R$ 3.783,53;15/05/2029
Tesouro IPCA+;IPCA + 8.22%;R$ 2.938,39;15/08/2032
Tesouro IPCA+;IPCA + 8.08%;R$ 2.396,90;15/05/2035
Tesouro IGPM+ com Juros Semestrais;8.33%;R$ 7.536,14;01/01/2031
Tesouro Prefixado com Juros Semestrais;14.49%;R$ 869,24;01/01/2031
Tesouro Prefixado com Juros Semestrais;14.55%;R$ 827,87;01/01/2033
Tesouro Prefixado com Juros Semestrais;14.54%;R$ 798,88;01/01/2035
Tesouro Prefixado com Juros Semestrais;14.52%;R$ 776,92;01/01/2037
Tesouro Prefixado com Juros Semestrais;14.06%;R$ 927,39;01/01/2029
Tesouro Prefixado com Juros Semestrais;13.84%;R$ 987,55;01/01/2027
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.76%;R$ 1.908,74;15/12/2049
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.57%;R$ 1.354,25;15/12/2054
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.24%;R$ 354,58;15/12/2074
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.24%;R$ 250,49;15/12/2079
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.27%;R$ 497,53;15/12/2069
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.33%;R$ 694,97;15/12/2064
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.24%;R$ 176,98;15/12/2084
Tesouro Renda+ Aposentadoria Extra;IPCA + 7.41%;R$ 972,21;15/12/2059
